name,website,city,industry,employees,short_description,tags,founded,linkedin,product_leader,opportunity
SR2 | Socially Responsible Recruitment | Certified B Corporation™,http://www.sr2rec.com,Bristol,information technology & services,68,,"employer value proposition, contract, csr, integrity, recruitment, transparency",2017,http://www.linkedin.com/company/sr2-socially-responsible-recruitment,None found in Apollo,🎯 Target — no product leader found
Proctor + Stevenson,http://www.proctorsgroup.com,Bristol,marketing & advertising,67,,"identity, branding, b2b, webflow, strategy planning, digital marketing",1979,http://www.linkedin.com/company/proctorsbristol,None found in Apollo,🎯 Target — no product leader found
One Big Circle Ltd,http://www.onebigcircle.co.uk,Bristol,information technology & services,66,,"integration, integrated transport systems, video, consulting, ai, full stack web development",2017,http://www.linkedin.com/company/one-big-circle-ltd,None found in Apollo,🎯 Target — no product leader found
"Vetasi, a Cohesive company",http://www.vetasi.com,Bristol,information technology & services,63,,"ibm maximo, cafm, iwms, planon, eam, enterprise asset management",2005,http://www.linkedin.com/company/vetasi,None found in Apollo,🎯 Target — no product leader found
AELP,http://www.aelp.org.uk,Bristol,nonprofit organization management,63,,"learning & development, briefing papers, membership organisation, bespoke benefits on events & other activities, workshops & events, cpd events",2002,http://www.linkedin.com/company/aelp,None found in Apollo,🎯 Target — no product leader found
Atamis,http://www.atamis.co.uk,Rhoose,information services,62,,"procurement spend analysis, data cleansing, contract management, asset register, spend analytics, tender management",2009,http://www.linkedin.com/company/atamis,None found in Apollo,🎯 Target — no product leader found
Open Bionics,http://www.openbionics.com,Bristol,medical devices,61,,"robotic hardware, prosthetics & orthotics, mechanical engineering, bio medical engineering, medical technology, bionics",2014,http://www.linkedin.com/company/openbionics,None found in Apollo,🎯 Target — no product leader found
Inspiretec,http://www.inspiretec.com,Cardiff,information technology & services,59,,"travel industry cxm, tour operator crm, travel website design, travel management software, ai, customer experience management software",1995,http://www.linkedin.com/company/inspiretecltd,None found in Apollo,🎯 Target — no product leader found
ADLIB Recruitment | B Corp™,http://www.adlib-recruitment.co.uk,Bristol,staffing & recruiting,58,,"talent finding, market mapping, data analytics recruitment, sustainability recruitment, digital marketing recruitment, salary benchmarking",2000,http://www.linkedin.com/company/adlib,None found in Apollo,🎯 Target — no product leader found
ARCA,http://www.arcaresourcing.com,Bristol,management consulting,58,,"dos, executive search, healthcare, cad, battery, it",2021,http://www.linkedin.com/company/arca-resourcing-ltd,None found in Apollo,🎯 Target — no product leader found
Recruit 121 Group,http://www.recruit121.com,Cardiff,staffing & recruiting,58,,"sap, staffing, recruitment, recruiting, sap bw, sap fi",2000,http://www.linkedin.com/company/recruit-121-limited,None found in Apollo,🎯 Target — no product leader found
ClickJobs.io,http://www.clickjobs.io,Bristol,human resources,56,,"job board advertising, online recruitment, online recruitment & recruitment, recruitment, job boards, flat free recruitment",2011,http://www.linkedin.com/company/clickjobsio,None found in Apollo,🎯 Target — no product leader found
Spindogs,http://www.spindogs.co.uk,Cardiff,information technology & services,56,,"integrations, sitecore, social media, web applications, cro, php",2004,http://www.linkedin.com/company/spindogs,None found in Apollo,🎯 Target — no product leader found
Book Creator from Kami,http://www.bookcreator.com,Bristol,e-learning,55,,"windows, ebooks, apps, education, edtech, apple",2011,http://www.linkedin.com/company/bookcreator,None found in Apollo,🎯 Target — no product leader found
Jugo,http://www.jugo.io,Bristol,information technology & services,54,,"fan engagement, technology, deal room, ai meeting intelligence, trust building, human connection",2022,http://www.linkedin.com/company/jugoimpact,None found in Apollo,🎯 Target — no product leader found
Mondaq,http://www.mondaq.com,Bristol,information technology & services,54,,"publishing seo optimization, online marketing, distribution, business insight, data, ai & machine learning",1994,http://www.linkedin.com/company/mondaq-ltd,None found in Apollo,🎯 Target — no product leader found
Mypinpad,http://www.mypinpad.com,Cardiff,financial services,51,,"identity management, authentication, pin services, technology & mobile payments, b2b, payment processing",2012,http://www.linkedin.com/company/mypinpad-ltd,None found in Apollo,🎯 Target — no product leader found
PureCyber Limited,http://www.purecyber.com,Cardiff,management consulting,51,,"cyber essentials, cyber audit, iso27001, breach monitoring, consultancy, vciso",2010,http://www.linkedin.com/company/purecyber-limited,None found in Apollo,🎯 Target — no product leader found
Edge Computing Expo,http://www.edgecomputing-expo.com,Bristol,events services,50,,"edge security, b2b, operational efficiency, cloud computing, edge robotics, digital transformation",,http://www.linkedin.com/company/edge-computing-expo,None found in Apollo,🎯 Target — no product leader found
Stable,http://www.stable.co.uk,Cardiff,information technology & services,50,,"systems integrator, specialist technical consultancy, security, cyber, defence, information assurance",2001,http://www.linkedin.com/company/thestableteam,None found in Apollo,🎯 Target — no product leader found
ValidPath,http://www.validpath.co.uk,Cardiff,financial services,49,,"independent financial advice, consulting, regulatory compliance, fca regulated, client retention, market-leading technology",2002,http://www.linkedin.com/company/validpath,None found in Apollo,🎯 Target — no product leader found
McLays & MiPost,http://www.mclays.co.uk,Cardiff,printing,49,,"postal solutions, hybrid mail, disaster recovery, transactional mail, digital printing, data analytics",1898,http://www.linkedin.com/company/mclays,None found in Apollo,🎯 Target — no product leader found
SRK Exploration,,Cardiff,mining & metals,48,,"logistical services, exploration programme design management, pitting trenching, gps surveying, geological training, qaqc",2003,http://www.linkedin.com/company/srk-exploration,None found in Apollo,🎯 Target — no product leader found
NEXA Properties,,Cardiff,real estate,48,,"estate agents, stylish student acomodation, property investment, property selling, real estate, property letting",2017,http://www.linkedin.com/company/nexa-properties,None found in Apollo,🎯 Target — no product leader found
Phasecraft,http://www.phasecraft.io,Bristol,information technology & services,47,,"quantum computing, technology, information & internet, quantum research publications, quantum hamiltonian simulation, fermionic encodings, quantum algorithm optimization",2019,http://www.linkedin.com/company/phasecraft,None found in Apollo,🎯 Target — no product leader found
Ocean Blue Software Ltd.,http://www.oceanbluesoftware.co.uk,Bristol,information technology & services,46,,"testing, dvbnip, hbbtv test, dtvkit, stb manufacturers, hbbtv",2005,http://www.linkedin.com/company/oceanbluesoftware,None found in Apollo,🎯 Target — no product leader found
◯ accelerate agency,http://www.evolvagency.io,Bristol,marketing & advertising,46,,"digital pr, tag manager, ppc, cro, google analytics, saas marketing",2017,http://www.linkedin.com/company/accelerate-agency-uk,None found in Apollo,🎯 Target — no product leader found
Changing Social,http://www.changingsocial.com,Bristol,information technology & services,46,,"adoption, innovation, microsoft teams, delve, fasttrack, prosci",2016,http://www.linkedin.com/company/changing-social,None found in Apollo,🎯 Target — no product leader found
Cooke & Arkwright,http://www.coark.com,Cardiff,real estate,46,,"agency, property & asset management, consultancy, property research, valuations, taxation",1900,http://www.linkedin.com/company/cooke-&-arkwright,None found in Apollo,🎯 Target — no product leader found
FlyForm,http://www.flyform.com,Cardiff,information technology & services,45,,"highly regulated, itbm, csm, government, servicenow resale, servicenow development",2017,http://www.linkedin.com/company/flyform,None found in Apollo,🎯 Target — no product leader found
Techsol,http://www.techsol.co.uk,Cardiff,information technology & services,44,,"erp, managed it services, crm solutions, accounting solutions, information technology specialists, business management services & information technology specialists",1996,http://www.linkedin.com/company/techsol-group-limited,None found in Apollo,🎯 Target — no product leader found
ALLIED DIGITAL SERVICES (UK) LTD,,Bristol,information technology & services,43,,"itasaservice, datacenter migration, end user it, enterprise applications, integrated solutions, infrastructure mgmt svcs",1984,http://www.linkedin.com/company/allied-digital-services-uk-ltd,None found in Apollo,🎯 Target — no product leader found
Conexus,http://www.conexusdx.com,Cardiff,staffing & recruiting,43,,"data analytics, software engineering, analytics, cyber security, automation, executive search",,http://www.linkedin.com/company/conexusdx,None found in Apollo,🎯 Target — no product leader found
Queen Square Recruitment,http://www.qsr.careers,Bristol,staffing & recruiting,42,,"public sector, senior appointments, insurance, ecommerce, recruitment, media",,http://www.linkedin.com/company/q-s-r,None found in Apollo,🎯 Target — no product leader found
"intY, a Giacom company",http://www.inty.com,Bristol,information technology & services,41,,"cloud computing, microsoft office 365, microsoft azure, symantec cloud, cloud back up, cloud migration",1997,http://www.linkedin.com/company/intyltd,None found in Apollo,🎯 Target — no product leader found
Built Intelligence,http://www.builtintelligence.com,Bristol,information technology & services,41,,"consultancy, subject matter mentoring, fidic, training, mentoring, elearning",2012,http://www.linkedin.com/company/builtintelligence,None found in Apollo,🎯 Target — no product leader found
Circle,http://www.circleit.co.uk,Cardiff,information technology & services,41,,"networking, it infrastructure, it security, disaster recovery, managed support, cloud services",2002,http://www.linkedin.com/company/circleitsolutions,None found in Apollo,🎯 Target — no product leader found
DeSL,http://www.desl.net,Cardiff,information technology & services,41,,"product development process, srm, apparel development, digital merchandising, footwear product development, plm",2002,http://www.linkedin.com/company/desl,None found in Apollo,🎯 Target — no product leader found
Real Time Consultants,http://www.realtimeconsultants.co.uk,Bristol,staffing & recruiting,40,,"regtech, start ups, recruitment, executive, atm, project planning",1980,http://www.linkedin.com/company/real-time-consultants-limited,None found in Apollo,🎯 Target — no product leader found
bedigital,http://www.bedigitaluk.com,Cardiff,information technology & services,40,,"ai services, cloud, technology asset management, agile, software asset management, digital transformation",2014,http://www.linkedin.com/company/bedigitaluk,None found in Apollo,🎯 Target — no product leader found
Community Housing Cymru,http://www.chcymru.org.uk,Cardiff,nonprofit organization management,40,,"welfare reform, renewable energy, pr communications, regulation, rural housing, research",,http://www.linkedin.com/company/community-housing-cymru,None found in Apollo,🎯 Target — no product leader found
Web Choice,http://www.webdesignchoice.co.uk,Bristol,information technology & services,39,,"app development, website design, branding, software development, website maintenance, business support",2008,http://www.linkedin.com/company/web-choice-uk-ltd,None found in Apollo,🎯 Target — no product leader found
Assured Insights,http://www.assuredinsights.com,Cardiff,information technology & services,39,,"aws, power bi, business intelligence, redshift, qlik, sql",,http://www.linkedin.com/company/assureddata,None found in Apollo,🎯 Target — no product leader found
Atomic Theory,http://www.atomictheory.gg,Cardiff,computer games,39,,"unreal, unity, prototypes, game ai, player mechanics, networked multiplayer",2023,http://www.linkedin.com/company/atomictheorygg,None found in Apollo,🎯 Target — no product leader found
Pax2pay,http://www.pax2pay.com,Bristol,financial services,37,,"online payments, virtual cards, travel industry, b2b payments, direct payments, virtual payments",2019,http://www.linkedin.com/company/pax2pay,None found in Apollo,🎯 Target — no product leader found
Tramshed Tech,http://www.tramshedtech.co.uk,Cardiff,information technology & services,37,,"creative industries, offices, tech industries, collaborative working, coworking, event space",2016,http://www.linkedin.com/company/tramshed-tech,None found in Apollo,🎯 Target — no product leader found
Butterfly Data,http://www.butterflydata.co.uk,Cardiff,information technology & services,37,,"data engineering, system migration, data privacy, public sector, coding, big data",2003,http://www.linkedin.com/company/butterflydata,None found in Apollo,🎯 Target — no product leader found
TechEx Events,http://www.techexevent.com,Bristol,events services,36,,"intelligent automation, unified communications, sustainability, event, edge computing, iot",,http://www.linkedin.com/company/techex-events,None found in Apollo,🎯 Target — no product leader found
Assured Digital,http://www.assureddigitaltech.com,Bristol,information technology & services,36,,"it support, office 365, cloud, microsoft 365, security, managed it",2020,http://www.linkedin.com/company/assured-digital-tech,None found in Apollo,🎯 Target — no product leader found
Antiverse,http://www.antiverse.io,Rhoose,research,36,,"machine learning, drug discovery, antibodies, biotechnology research, target epitope specificity, multi-parameter clustering",2017,http://www.linkedin.com/company/antiverse,None found in Apollo,🎯 Target — no product leader found
Flexys,http://www.flexys.com,Bristol,information technology & services,35,,"machine learning, scala, contact centre, debt management, automation, debt management consultancy",2016,http://www.linkedin.com/company/flexys-solutions,None found in Apollo,🎯 Target — no product leader found
Cambrian Alliance Group,http://www.cambrianalliance.co.uk,Cardiff,pharmaceuticals,35,,"pharmaceuticals, medicines, wholesalers, generics, pis, brands",2000,http://www.linkedin.com/company/cambrian-alliance,None found in Apollo,🎯 Target — no product leader found
New Icon,http://www.newicon.net,Bristol,information technology & services,34,,"ux design, web hosting, magento, mobile apps, agile, mysql",2007,http://www.linkedin.com/company/newicon,None found in Apollo,🎯 Target — no product leader found
BaseKit | B Corp™,http://www.basekit.com,Bristol,online media,34,,"build a website, create a website, ecommerce, website builder, bookings software, website development platform",2008,http://www.linkedin.com/company/basekit,None found in Apollo,🎯 Target — no product leader found
Rosenfield Health,http://www.rosenfieldhealth.com,Cardiff,hospital & health care,34,,"teaching files, reporting quality, ai, medical imaging, workflow intelligence, radiology",2016,http://www.linkedin.com/company/rosenfieldhealth,None found in Apollo,🎯 Target — no product leader found
"Reinvigoration, a leading operations transformation consultancy",http://www.reinvigoration.com,Cardiff,management consulting,33,,"data visualisation, lean training certification, online learning development, deploying operational strategy, operational excellence, simplifying business processes",2008,http://www.linkedin.com/company/reinvigoration,None found in Apollo,🎯 Target — no product leader found
Method4,http://www.method4.co.uk,Cardiff,information technology & services,33,,"microsoftnet, web application development, information management systems, umbraco, collaborative solutions, sharepoint",2005,http://www.linkedin.com/company/method4,None found in Apollo,🎯 Target — no product leader found
Human Data Sciences,http://www.humandatasciences.com,Cardiff,research,33,,"rwe, human data science, patient reported outcomes, cprd gold, risk management, realtime advanced analytics",2006,http://www.linkedin.com/company/humandatasciences,None found in Apollo,🎯 Target — no product leader found
Rant,http://www.rantbmx.com,Cardiff,information technology & services,33,,"iphone, ios, mobile app development, ipad, android app development, mobile strategy",2003,http://www.linkedin.com/company/rantagency,None found in Apollo,🎯 Target — no product leader found
Ware,,Rhoose,information technology & services,32,,"software development, machine learning, blockchain integration, fraud detection, data analytics, consulting",2019,http://www.linkedin.com/company/wareplatform,None found in Apollo,🎯 Target — no product leader found
AMPLYFI,http://www.amplyfi.com,Cardiff,information technology & services,31,,"artificial intelligence, deep learning, big data, data mining, analytics, machine learning",2015,http://www.linkedin.com/company/amplyfi,None found in Apollo,🎯 Target — no product leader found
CREO,http://www.creo.co.uk,Cardiff,design,31,,"mobile app development, graphic design, integrated agency, digital marketing, social media solutions, pay per click",1999,http://www.linkedin.com/company/creo-interactive-ltd,None found in Apollo,🎯 Target — no product leader found
Data Cubed,http://www.data-cubed.com,Bristol,information technology & services,29,,"token sale marketing, data architecture, etl, machine learning, automation, ai",2017,http://www.linkedin.com/company/data-cubed-limited,None found in Apollo,🎯 Target — no product leader found
Anana Ltd,http://www.anana.com,Bristol,information technology & services,29,,"contact centre solutions, digital engagement solutions, customer service solutions, call centre transformation, customer experience management, multichannel customer contact solutions",2001,http://www.linkedin.com/company/anana-ltd,None found in Apollo,🎯 Target — no product leader found
Cloud Essentials,http://www.cloudessentials.com,Bristol,information technology & services,29,,"enterprise amp cognitive search, tenant to tenant migration, information governance compliance, storage management in azure, collection amp ediscovery, email archive migration",2001,http://www.linkedin.com/company/cloudessentials,None found in Apollo,🎯 Target — no product leader found
Spark Data Systems Ltd,http://www.sparkdata.co.uk,Bristol,information technology & services,29,,"claims, financial software, insurance software, sql server, mis reporting systems, cloud computing",1996,http://www.linkedin.com/company/spark-data-systems-ltd,None found in Apollo,🎯 Target — no product leader found
SCG Wales & West,http://www.scgwales.com,Rhoose,telecommunications,29,,"fixed line, broadband amp data, telephone systems, innovative technology, cloud phone systems, broadband data",2007,http://www.linkedin.com/company/scgwales,None found in Apollo,🎯 Target — no product leader found
Worktribe,http://www.worktribe.com,Bristol,information technology & services,28,,"development, software, saas, curriculum management, stem, higher education",2002,http://www.linkedin.com/company/worktribe,None found in Apollo,🎯 Target — no product leader found
